Country,Total Records,authority_name,authority_type_id,authority_type_name,award_criteria_id,award_criteria_name,bid_type_id,bid_type_name,comment_deadline,contract_id,contract_name,country,date,deadline,directive,document_id,document_name,document_number,document_sent,heading,id,identifier,nuts_code,oj,oj_uc,original_language,place,procedure_id,procedure_name,publication_date,regulation_id,regulation_name,signature,source_tender,title,title_uc,uri,url,year
AF,75,100.00,100.00,100.00,100.00,100.00,100.00,100.00,4.00,100.00,100.00,100.00,100.00,52.00,6.67,100.00,100.00,100.00,100.00,100.00,100.00,100.00,2.67,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,8.00,100.00
AG,1,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00
AL,280,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,50.36,0.36,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.36,100.00
AM,77,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,57.14,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00
AN,23,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,39.13,4.35,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,17.39,100.00
AO,25,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,60.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00
AR,124,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.81,100.00,100.00,100.00,100.00,47.58,1.61,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,2.42,100.00
AT,30142,100.00,100.00,100.00,100.00,100.00,100.00,100.00,45.05,100.00,100.00,100.00,100.00,52.24,34.38,100.00,100.00,100.00,100.00,100.00,100.00,100.00,89.02,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,56.94,100.00
AU,2,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00
AW,7,100.00,100.00,100.00,100.00,100.00,100.00,100.00,14.29,100.00,100.00,100.00,100.00,71.43,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,14.29,100.00
AX,1,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
AZ,12,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,41.67,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00
BA,568,99.12,100.00,100.00,100.00,100.00,100.00,100.00,0.70,100.00,100.00,100.00,100.00,56.87,1.58,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.53,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,1.76,100.00
BB,9,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,55.56,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00
BD,61,100.00,100.00,100.00,100.00,100.00,100.00,100.00,3.28,100.00,100.00,100.00,100.00,54.10,11.48,100.00,100.00,100.00,100.00,100.00,100.00,100.00,4.92,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,24.59,100.00
BE,50258,100.00,100.00,100.00,100.00,100.00,100.00,100.00,37.46,100.00,100.00,100.00,100.00,60.65,31.06,100.00,100.00,100.00,100.00,100.00,100.00,100.00,71.80,100.00,100.00,100.00,99.97,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,44.65,100.00
BF,61,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,59.02,1.64,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,11.48,100.00
BG,26592,100.00,100.00,100.00,100.00,100.00,100.00,100.00,35.04,100.00,100.00,100.00,100.00,36.33,45.46,100.00,100.00,100.00,100.00,100.00,100.00,100.00,91.53,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,64.94,100.00
BI,100,99.00,100.00,100.00,100.00,100.00,100.00,100.00,6.00,100.00,100.00,100.00,100.00,64.00,2.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,3.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,5.00,100.00
BJ,72,100.00,100.00,100.00,100.00,100.00,100.00,100.00,4.17,100.00,100.00,100.00,100.00,69.44,6.94,100.00,100.00,100.00,100.00,100.00,100.00,100.00,1.39,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,15.28,100.00
BO,38,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,60.53,5.26,100.00,100.00,100.00,100.00,100.00,100.00,100.00,5.26,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,5.26,100.00
BR,34,97.06,100.00,100.00,100.00,100.00,100.00,100.00,2.94,100.00,100.00,100.00,100.00,38.24,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,2.94,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,2.94,100.00
BS,1,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00
BW,23,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,73.91,8.70,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,4.35,100.00
BY,78,100.00,100.00,100.00,100.00,100.00,100.00,100.00,1.28,100.00,100.00,100.00,100.00,51.28,25.64,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,24.36,100.00
BZ,40,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,52.50,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00
CA,2,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,50.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,50.00,100.00
CD,182,100.00,100.00,100.00,100.00,100.00,100.00,100.00,1.10,100.00,100.00,100.00,100.00,62.64,8.24,100.00,100.00,100.00,100.00,100.00,100.00,100.00,5.49,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,7.69,100.00
CF,26,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,61.54,7.69,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,3.85,100.00
CG,66,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,60.61,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00
CH,10155,100.00,100.00,100.00,100.00,100.00,100.00,100.00,14.07,100.00,100.00,100.00,100.00,51.48,42.03,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.20,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,36.61,100.00
CI,82,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,57.32,1.22,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,3.66,100.00
CM,74,100.00,100.00,100.00,100.00,100.00,100.00,100.00,1.35,100.00,100.00,100.00,100.00,60.81,1.35,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,1.35,100.00
CN,73,100.00,100.00,100.00,100.00,100.00,100.00,100.00,5.48,100.00,100.00,100.00,100.00,69.86,5.48,100.00,100.00,100.00,100.00,100.00,100.00,100.00,2.74,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,9.59,100.00
CO,82,100.00,100.00,100.00,100.00,100.00,100.00,100.00,1.22,100.00,100.00,100.00,100.00,48.78,1.22,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,2.44,100.00
CR,35,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,25.71,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00
CU,1,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00
CV,9,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,77.78,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00
CY,4619,100.00,100.00,100.00,100.00,100.00,100.00,100.00,38.43,100.00,100.00,100.00,100.00,61.23,28.56,100.00,100.00,100.00,100.00,100.00,100.00,100.00,93.72,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,53.67,100.00
CZ,49233,100.00,100.00,100.00,100.00,100.00,100.00,100.00,30.61,100.00,100.00,100.00,100.00,47.85,43.36,100.00,100.00,100.00,100.00,100.00,100.00,100.00,88.17,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,63.76,100.00
DE,204628,100.00,100.00,100.00,100.00,100.00,100.00,100.00,37.79,100.00,100.00,100.00,100.00,53.19,35.74,100.00,100.00,100.00,100.00,100.00,100.00,100.00,78.55,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,64.64,100.00
DJ,44,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,70.45,2.27,100.00,100.00,100.00,100.00,100.00,100.00,100.00,2.27,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00
DK,24593,99.99,100.00,100.00,100.00,100.00,100.00,100.00,16.59,100.00,100.00,100.00,100.00,57.18,38.04,100.00,100.00,100.00,100.00,100.00,100.00,100.00,81.93,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,72.21,100.00
DM,14,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,64.29,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00
DO,14,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,71.43,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,7.14,100.00
DZ,132,100.00,100.00,100.00,100.00,100.00,100.00,100.00,1.52,100.00,100.00,100.00,100.00,48.48,0.76,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,1.52,100.00
EC,4,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,75.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00
EE,10349,100.00,100.00,100.00,100.00,100.00,100.00,100.00,46.57,100.00,100.00,100.00,100.00,49.72,34.85,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.28,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,49.03,100.00
EG,124,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.81,100.00,100.00,100.00,100.00,64.52,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00
ER,21,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,57.14,9.52,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,9.52,100.00
ES,101719,100.00,100.00,100.00,100.00,100.00,100.00,100.00,33.40,100.00,100.00,100.00,100.00,48.49,27.97,100.00,100.00,100.00,100.00,100.00,100.00,100.00,55.01,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,76.40,100.00
ET,127,100.00,100.00,100.00,100.00,100.00,100.00,100.00,2.36,100.00,100.00,100.00,100.00,59.84,0.79,100.00,100.00,100.00,100.00,100.00,100.00,100.00,3.94,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,2.36,100.00
FI,29932,100.00,100.00,100.00,100.00,100.00,100.00,100.00,6.16,100.00,100.00,100.00,100.00,51.67,37.33,100.00,100.00,100.00,100.00,100.00,100.00,100.00,68.41,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,42.03,100.00
FJ,7,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,71.43,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00
FM,3,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,66.67,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00
FR,427546,99.92,100.00,100.00,100.00,100.00,100.00,100.00,12.34,100.00,100.00,100.00,100.00,53.94,34.99,100.00,100.00,100.00,100.00,100.00,100.00,100.00,60.77,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,45.38,100.00
GA,12,100.00,100.00,100.00,100.00,100.00,100.00,100.00,8.33,100.00,100.00,100.00,100.00,33.33,8.33,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,8.33,100.00
GB,30516,100.00,100.00,100.00,100.00,100.00,100.00,100.00,22.98,100.00,100.00,100.00,100.00,58.35,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.23,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,60.25,100.00
GD,3,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,33.33,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00
GE,199,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.50,100.00,100.00,100.00,100.00,64.32,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.50,100.00
GH,65,100.00,100.00,100.00,100.00,100.00,100.00,100.00,3.08,100.00,100.00,100.00,100.00,53.85,1.54,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,4.62,100.00
GI,61,100.00,100.00,100.00,100.00,100.00,100.00,100.00,29.51,100.00,100.00,100.00,100.00,62.30,37.70,100.00,100.00,100.00,100.00,100.00,100.00,100.00,11.48,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,42.62,100.00
